Area,DtN,PC1
1.4539,1.95,0.136409512820065
2.376,4.85,0.915563757983242
0.3626,1.79,0.423261993654114
3.1775,4.82,0.4062798836115
0.2254,16.65,0.24531687882396
0.837,5.15,0.854095369233089
1.5904,1.12,0.526263962565604
2.1285,14.36,0.649200740065911
0.4928,1.23,0.0714337711958083
0.7326,3.27,-0.167290725919491
2.0829,2.05,0.731158591732782
5.3295,4.05,0.584224998441654
0.7412,9.8,0.731158591732782
1.452,3.55,0.642186034317705
3.006,1.95,0.895074295066524
1.0875,5.95,0.731158591732782
0.22,1.6,0.731158591732782
0.792,4.95,0.156898975736783
0.403,2.06,0.813116443399653
0.553,4.29,0.266360996068578
1.638,0.95,-0.442962445605793
1.2,1.32,-0.634643840763093
0.574,0.72,-0.698537639148859
1.716,1.82,-0.762431437534625
1.2,2.75,-0.762431437534625
0.9018,1.66,-0.698537639148859
0.2907,1.6,-0.762431437534625
0.2025,0.66,-0.762431437534625
0.384,2.4,-0.762431437534625
1.7316,3.52,-0.762431437534625
1.968,3.6,-0.251281050448494
2.449,0.7,-0.103003990760243
0.9752,1.13,-0.593664914929657
1.62,1.13,-0.486366781074842
1.925,3.5,-0.762431437534625
0.59,3,-0.762431437534625
2.635,4.17,-0.167290725919491
3.632,0.7,-0.167290725919491
